parfamName,yearIndex,parfam,countryname,environ,culture,equality,pervote,rile,staticRile,electionDate,partyname
ECO,1989,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,-13.65,1989-09-01,Green Left
ECO,1990,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,-13.65,1989-09-01,Green Left
ECO,1991,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,-13.65,1989-09-01,Green Left
ECO,1992,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,-13.65,1989-09-01,Green Left
ECO,1993,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,-13.65,1989-09-01,Green Left
ECO,1994,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,-13.65,1994-05-01,Green Left
ECO,1995,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,-13.65,1994-05-01,Green Left
ECO,1996,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,-13.65,1994-05-01,Green Left
ECO,1997,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,-13.65,1994-05-01,Green Left
ECO,1998,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,-13.65,1998-05-01,Green Left
ECO,1999,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,-13.65,1998-05-01,Green Left
ECO,2000,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,-13.65,1998-05-01,Green Left
ECO,2001,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,-13.65,1998-05-01,Green Left
ECO,2002,10,Netherlands,10.455,2.573,2.012,6.95,-9.136,-13.65,2002-05-01,Green Left
ECO,2003,10,Netherlands,6.537000000000001,0.177,6.184,5.13,19.965,-13.65,2003-01-01,Green Left
ECO,2004,10,Netherlands,6.537000000000001,0.177,6.184,5.13,19.965,-13.65,2003-01-01,Green Left
ECO,2005,10,Netherlands,6.537000000000001,0.177,6.184,5.13,19.965,-13.65,2003-01-01,Green Left
ECO,2006,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,-13.65,2006-11-01,Green Left
ECO,2007,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,-13.65,2006-11-01,Green Left
ECO,2008,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,-13.65,2006-11-01,Green Left
ECO,2009,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,-13.65,2006-11-01,Green Left
ECO,2010,10,Netherlands,7.322,0.642,14.835999999999999,6.67,1.6059999999999999,-13.65,2010-06-01,Green Left
